match_id,round,date,home_team,home_id,away_team,away_id,home_score,away_score,venue,city,referee,result,home_xg,away_xg,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_corners,away_corners,home_passes,away_passes,home_accurate_passes,away_accurate_passes,home_fouls,away_fouls,home_tackles,away_tackles,home_interceptions,away_interceptions,home_recoveries,away_recoveries,home_touches_in_box,away_touches_in_box,home_final_third_entries,away_final_third_entries,home_yellow_cards,away_yellow_cards,home_gk_saves,away_gk_saves,home_goals_prevented,away_goals_prevented
13981781,5,2025-08-17,Bruk-Bet Termalica Nieciecza,36851,Raków Częstochowa,35268,2,3,Stadion Bruk-Bet,Nieciecza,Szymon Marciniak,A,1.05,2.33,47,53,10,17,3,10,2.0,5.0,1.0,2.0,6,2,354,413,274,356,17,14,18,15,10,7,42,44,22,25,48,60,2.0,4.0,7,1,0.7784,-0.5697
13981782,5,2025-08-16,Motor Lublin,7915,Piast Gliwice,7918,0,0,Arena Lublin,Lublin,Karol Arys,D,0.89,0.96,41,59,8,17,1,4,,,,,7,6,314,463,257,412,17,16,15,10,5,4,36,41,19,26,33,57,4.0,2.0,4,1,1.2379,0.0858
13981783,5,2025-08-17,Pogoń Szczecin,3117,Górnik Zabrze,3110,0,3,Stadion Miejski im. Floriana Krygiera,Szczecin,Jaroslaw Przybyl,A,1.52,1.82,53,47,14,20,3,6,3.0,2.0,3.0,1.0,6,9,381,345,319,287,11,16,16,11,9,9,35,42,22,27,49,39,2.0,0.0,3,2,-0.9568,0.3451
13981784,5,2025-08-16,GKS Katowice,3112,MZKS Arka Gdynia,5064,4,1,Arena Katowice,Katowice,Damian Sylwestrzak,H,3.18,0.59,42,58,24,12,10,3,6.0,2.0,2.0,1.0,8,5,266,381,202,311,19,12,14,10,4,3,41,31,40,19,40,47,1.0,4.0,2,5,-0.4437,-0.3858
13981785,5,2025-08-17,Radomiak Radom,7295,Jagiellonia Białystok,7691,1,2,Stadion im. Braci Czachorów,Radom,Wojciech Myc,A,1.47,1.47,40,60,11,15,5,5,4.0,1.0,3.0,0.0,6,7,276,430,207,362,20,12,11,4,6,1,25,28,18,24,39,46,6.0,1.0,3,4,0.1186,-0.1795
13981786,5,2025-08-15,Zagłębie Lubin,3113,KS Lechia Gdańsk,7913,6,2,KGHM Zagłębie Arena,Lubin,Bartosz Frankowski,H,2.53,1.07,41,59,22,7,9,2,7.0,1.0,4.0,0.0,5,4,270,391,198,307,6,9,19,16,9,5,49,40,35,13,44,49,,,0,3,-1.2393,-2.17
13981788,5,2025-08-15,Cracovia,4901,Widzew Łódź,3115,1,0,Marshal Jozef Pilsudski Stadium,Kraków,Marcin Kochanek,H,0.52,0.87,44,56,8,14,2,4,2.0,0.0,1.0,0.0,7,8,264,332,189,249,16,11,15,15,13,5,40,39,19,28,48,62,2.0,1.0,3,1,0.3696,-0.3558
13981789,5,2025-08-16,Lech Poznań,3121,MKS Korona Kielce,5065,1,1,Enea Poznań,Poznan,Piotr Lasyk,D,1.45,1.33,65,35,18,16,8,2,2.0,2.0,1.0,1.0,6,0,503,259,422,196,12,10,13,16,4,8,51,57,35,27,61,34,1.0,1.0,1,7,0.0831,0.5463
13981787,6,2025-08-25,Wisła Płock,3122,Zagłębie Lubin,3113,2,1,Stadion im. Kazimierza Gorskiego,Plock,Karol Arys,H,1.73,0.41,58,42,15,7,4,3,1.0,1.0,,,4,3,544,402,474,334,15,9,15,6,5,6,49,37,20,12,67,47,1.0,0.0,2,2,-0.3969,-0.6294
13981791,6,2025-08-24,KS Lechia Gdańsk,7913,MZKS Arka Gdynia,5064,1,0,Polsat Plus Arena Gdańsk,Gdansk,Paweł Raczkowski,H,0.99,0.46,53,47,12,7,3,1,1.0,0.0,,,4,4,367,337,283,249,10,12,18,9,5,2,43,32,20,19,73,41,3.0,3.0,1,2,0.1589,-0.596
